cluster;nbAircraft;uncertainty;clusterId;iterations;rdOff1;rdOff2;InitialConfigurationCost;AlgorithmConfigurationCost;ConfigurationsDistance
cluster_10ac_1err_6;10;1;6;0;6;7;46;113;22;
cluster_10ac_1err_6;10;1;6;1;6;0;46;96;18;
cluster_10ac_1err_6;10;1;6;2;6;2;46;73;17;
cluster_10ac_1err_6;10;1;6;3;6;2;46;104;15;
cluster_10ac_1err_6;10;1;6;4;6;9;46;85;16;
cluster_10ac_1err_6;10;1;6;1;7;8;46;135;25;
cluster_10ac_1err_6;10;1;6;2;7;6;46;97;20;
cluster_10ac_1err_6;10;1;6;3;7;6;46;102;18;
cluster_10ac_1err_6;10;1;6;0;8;0;46;104;15;
cluster_10ac_1err_6;10;1;6;1;8;3;46;76;8;
cluster_10ac_1err_6;10;1;6;2;8;9;46;117;14;
cluster_10ac_1err_6;10;1;6;3;8;2;46;110;22;
cluster_10ac_1err_6;10;1;6;4;8;7;46;132;23;
cluster_10ac_1err_6;10;1;6;0;9;8;46;49;2;
cluster_10ac_1err_6;10;1;6;1;9;4;46;95;17;
cluster_10ac_1err_6;10;1;6;3;9;1;46;129;23;
cluster_10ac_1err_7;10;1;7;3;0;2;24;41;10;
cluster_10ac_1err_7;10;1;7;0;2;9;24;29;9;
cluster_10ac_1err_7;10;1;7;1;2;9;24;43;10;
cluster_10ac_1err_7;10;1;7;2;2;3;24;67;15;
cluster_10ac_1err_7;10;1;7;3;2;5;24;58;16;
cluster_10ac_1err_7;10;1;7;4;2;7;24;68;16;
cluster_10ac_1err_7;10;1;7;0;3;8;24;37;4;
cluster_10ac_1err_7;10;1;7;1;3;4;24;42;6;
cluster_10ac_1err_7;10;1;7;2;3;2;24;45;13;
cluster_10ac_1err_7;10;1;7;3;3;1;24;30;3;
cluster_10ac_1err_7;10;1;7;4;3;0;24;25;2;
cluster_10ac_1err_7;10;1;7;4;4;5;24;41;9;
cluster_10ac_1err_7;10;1;7;0;5;2;24;41;14;
cluster_10ac_1err_7;10;1;7;1;5;7;24;43;6;
cluster_10ac_1err_7;10;1;7;2;5;3;24;2517;4;
cluster_10ac_1err_7;10;1;7;3;5;8;24;58;9;
cluster_10ac_1err_7;10;1;7;4;5;2;24;54;17;
cluster_10ac_1err_7;10;1;7;0;6;2;24;52;11;
