cluster;nbAircraft;uncertainty;clusterId;iterations;default;CP;SA
cluster_10ac_3err_5;10;3;5;1;7500,0;15,0;60,0;
cluster_10ac_3err_5;10;3;5;2;7500,0;15,0;35,0;
cluster_10ac_3err_5;10;3;5;3;7500,0;15,0;55,0;
cluster_10ac_3err_5;10;3;5;4;7500,0;15,0;50,0;
cluster_10ac_3err_6;10;3;6;0;5000,0;40,0;56,0;
cluster_10ac_3err_6;10;3;6;1;5000,0;40,0;89,0;
cluster_10ac_3err_6;10;3;6;2;5000,0;40,0;87,0;
cluster_10ac_3err_6;10;3;6;3;5000,0;40,0;91,0;
cluster_10ac_3err_6;10;3;6;4;5000,0;40,0;80,0;
cluster_10ac_3err_7;10;3;7;0;7500,0;56,0;109,0;
cluster_10ac_3err_7;10;3;7;1;7500,0;56,0;199,0;
cluster_10ac_3err_7;10;3;7;2;7500,0;56,0;146,0;
cluster_10ac_3err_7;10;3;7;3;7500,0;56,0;132,0;
cluster_10ac_3err_7;10;3;7;4;7500,0;56,0;98,0;
cluster_10ac_3err_8;10;3;8;0;2500,0;14,0;30,0;
cluster_10ac_3err_8;10;3;8;1;2500,0;14,0;50,0;
cluster_10ac_3err_8;10;3;8;2;2500,0;14,0;45,0;
cluster_10ac_3err_8;10;3;8;3;2500,0;14,0;29,0;
cluster_10ac_3err_8;10;3;8;4;2500,0;14,0;64,0;
cluster_10ac_3err_9;10;3;9;0;12500,0;56,0;198,0;
cluster_10ac_3err_9;10;3;9;1;12500,0;56,0;118,0;
cluster_10ac_3err_9;10;3;9;2;12500,0;56,0;171,0;
cluster_10ac_3err_9;10;3;9;3;12500,0;56,0;160,0;
cluster_10ac_3err_9;10;3;9;4;12500,0;56,0;199,0;
cluster_15ac_1err_0;15;1;0;0;7500,0;47,0;69,0;
cluster_15ac_1err_0;15;1;0;1;7500,0;47,0;107,0;
cluster_15ac_1err_0;15;1;0;2;7500,0;47,0;119,0;
cluster_15ac_1err_0;15;1;0;3;7500,0;47,0;104,0;
cluster_15ac_1err_0;15;1;0;4;7500,0;47,0;147,0;
cluster_15ac_1err_1;15;1;1;0;17500,0;80,0;206,0;
cluster_15ac_1err_1;15;1;1;1;17500,0;80,0;236,0;
cluster_15ac_1err_1;15;1;1;2;17500,0;80,0;257,0;
cluster_15ac_1err_1;15;1;1;3;17500,0;80,0;172,0;
cluster_15ac_1err_1;15;1;1;4;17500,0;80,0;204,0;
cluster_15ac_1err_2;15;1;2;0;17500,0;81,0;244,0;
cluster_15ac_1err_2;15;1;2;1;17500,0;81,0;188,0;
cluster_15ac_1err_2;15;1;2;2;17500,0;81,0;222,0;
cluster_15ac_1err_2;15;1;2;3;17500,0;81,0;285,0;
cluster_15ac_1err_2;15;1;2;4;17500,0;81,0;194,0;
cluster_15ac_1err_3;15;1;3;0;17500,0;80,0;169,0;
cluster_15ac_1err_3;15;1;3;1;17500,0;80,0;165,0;
cluster_15ac_1err_3;15;1;3;2;17500,0;80,0;225,0;
cluster_15ac_1err_3;15;1;3;3;17500,0;80,0;241,0;
cluster_15ac_1err_3;15;1;3;4;17500,0;80,0;220,0;
cluster_15ac_1err_4;15;1;4;0;15000,0;97,0;255,0;
cluster_15ac_1err_4;15;1;4;1;15000,0;97,0;196,0;
cluster_15ac_1err_4;15;1;4;2;15000,0;97,0;166,0;
cluster_15ac_1err_4;15;1;4;3;15000,0;97,0;215,0;
cluster_15ac_1err_4;15;1;4;4;15000,0;97,0;252,0;
cluster_15ac_1err_5;15;1;5;0;22500,0;87,0;191,0;
cluster_15ac_1err_5;15;1;5;1;22500,0;87,0;217,0;
cluster_15ac_1err_5;15;1;5;2;22500,0;87,0;216,0;
cluster_15ac_1err_5;15;1;5;3;22500,0;87,0;203,0;
cluster_15ac_1err_5;15;1;5;4;22500,0;87,0;233,0;
cluster_15ac_1err_6;15;1;6;0;27500,0;93,0;265,0;
cluster_15ac_1err_6;15;1;6;1;27500,0;93,0;213,0;
cluster_15ac_1err_6;15;1;6;2;27500,0;93,0;272,0;
cluster_15ac_1err_6;15;1;6;3;27500,0;93,0;223,0;
cluster_15ac_1err_6;15;1;6;4;27500,0;93,0;297,0;
cluster_15ac_1err_7;15;1;7;0;42500,0;163,0;2757,0;
cluster_15ac_1err_7;15;1;7;1;42500,0;163,0;272,0;
cluster_15ac_1err_7;15;1;7;2;42500,0;163,0;2725,0;
cluster_15ac_1err_7;15;1;7;3;42500,0;163,0;2801,0;
cluster_15ac_1err_7;15;1;7;4;42500,0;163,0;432,0;
cluster_15ac_1err_8;15;1;8;0;15000,0;82,0;236,0;
cluster_15ac_1err_8;15;1;8;1;15000,0;82,0;246,0;
cluster_15ac_1err_8;15;1;8;2;15000,0;82,0;247,0;
cluster_15ac_1err_8;15;1;8;3;15000,0;82,0;181,0;
cluster_15ac_1err_8;15;1;8;4;15000,0;82,0;191,0;
cluster_15ac_1err_9;15;1;9;0;10000,0;53,0;138,0;
cluster_15ac_1err_9;15;1;9;1;10000,0;53,0;146,0;
cluster_15ac_1err_9;15;1;9;2;10000,0;53,0;193,0;
cluster_15ac_1err_9;15;1;9;3;10000,0;53,0;97,0;
cluster_15ac_1err_9;15;1;9;4;10000,0;53,0;114,0;
cluster_15ac_2err_0;15;2;0;0;15000,0;44,0;186,0;
cluster_15ac_2err_0;15;2;0;1;15000,0;44,0;99,0;
cluster_15ac_2err_0;15;2;0;2;15000,0;44,0;113,0;
cluster_15ac_2err_0;15;2;0;3;15000,0;44,0;137,0;
cluster_15ac_2err_0;15;2;0;4;15000,0;44,0;147,0;
cluster_15ac_2err_1;15;2;1;0;22500,0;104,0;237,0;
cluster_15ac_2err_1;15;2;1;1;22500,0;104,0;253,0;
cluster_15ac_2err_1;15;2;1;2;22500,0;104,0;206,0;
cluster_15ac_2err_1;15;2;1;3;22500,0;104,0;293,0;
cluster_15ac_2err_1;15;2;1;4;22500,0;104,0;267,0;
cluster_15ac_2err_2;15;2;2;0;20000,0;85,0;240,0;
cluster_15ac_2err_2;15;2;2;1;20000,0;85,0;233,0;
cluster_15ac_2err_2;15;2;2;2;20000,0;85,0;285,0;
cluster_15ac_2err_2;15;2;2;3;20000,0;85,0;155,0;
cluster_15ac_2err_2;15;2;2;4;20000,0;85,0;247,0;
cluster_15ac_2err_3;15;2;3;0;15000,0;82,0;174,0;
cluster_15ac_2err_3;15;2;3;1;15000,0;82,0;196,0;
cluster_15ac_2err_3;15;2;3;2;15000,0;82,0;225,0;
cluster_15ac_2err_3;15;2;3;3;15000,0;82,0;240,0;
cluster_15ac_2err_3;15;2;3;4;15000,0;82,0;234,0;
cluster_15ac_2err_4;15;2;4;0;27500,0;157,0;299,0;
cluster_15ac_2err_4;15;2;4;1;27500,0;157,0;284,0;
cluster_15ac_2err_4;15;2;4;2;27500,0;157,0;269,0;
cluster_15ac_2err_4;15;2;4;3;27500,0;157,0;290,0;
cluster_15ac_2err_4;15;2;4;4;27500,0;157,0;337,0;
cluster_15ac_2err_5;15;2;5;0;17500,0;87,0;225,0;
cluster_15ac_2err_5;15;2;5;1;17500,0;87,0;184,0;
cluster_15ac_2err_5;15;2;5;2;17500,0;87,0;191,0;
cluster_15ac_2err_5;15;2;5;3;17500,0;87,0;216,0;
cluster_15ac_2err_5;15;2;5;4;17500,0;87,0;206,0;
cluster_15ac_2err_7;15;2;7;0;22500,0;107,0;260,0;
cluster_15ac_2err_7;15;2;7;1;22500,0;107,0;259,0;
cluster_15ac_2err_7;15;2;7;2;22500,0;107,0;218,0;
cluster_15ac_2err_7;15;2;7;3;22500,0;107,0;255,0;
cluster_15ac_2err_7;15;2;7;4;22500,0;107,0;215,0;
cluster_15ac_2err_8;15;2;8;0;15000,0;88,0;231,0;
cluster_15ac_2err_8;15;2;8;1;15000,0;88,0;223,0;
cluster_15ac_2err_8;15;2;8;2;15000,0;88,0;298,0;
